admission_id,name,photo_url,phone_number,place,email,date_of_birth,class_name,father_name,year_of_study,branch,section
20200001,Allison Hill,https://www.lorempixel.com/457/285,+1-819-600-1338x90838,Robinsonshire,blakeerik@yahoo.com,2005-03-22,1st,Daniel Gallagher,6,IT,C
20210002,James Howard,https://www.lorempixel.com/704/541,001-781-618-4959x3103,Traciebury,oramirez@martin-kelly.com,2000-08-24,2nd,Christopher Daniel,5,ECE,A
20200003,James Mayo,https://www.lorempixel.com/449/664,056.413.9537,Wilkersonmouth,donald88@burgess-patterson.org,2006-03-24,4th,Zachary Taylor,6,CSE,A
20200004,Peter Callahan Jr.,https://www.lorempixel.com/327/864,(697)848-0184x5146,South Aaron,williamrodriguez@hotmail.com,2004-07-05,2nd,Jordan Gonzalez,6,ECE,A
20210005,Christopher Ashley,https://placeimg.com/1/663/any,1543039117,Port Amandaberg,karroyo@rose-obrien.com,2002-11-08,4th,James Powers,5,ECE,D
20220006,Steven Hayes,https://www.lorempixel.com/507/460,098-393-0103x10518,West Elizabeth,jenniferkhan@kennedy.com,2001-01-14,1st,Jeffrey Henderson,4,ECE,D
20220007,Nicholas Nunez,https://placeimg.com/201/124/any,001-513-338-7262x4731,Mortonside,pearsonamber@novak.com,2006-05-07,3rd,Daniel Morales,4,ECE,B
20220008,James Galloway,https://placekitten.com/543/931,(872)343-0980x50097,North Susan,caseyjones@powell.com,2000-02-09,1st,Jason Silva,4,CSE,D
20200009,Taylor Harris,https://placekitten.com/643/488,(247)510-7991x1838,Davidstad,mikemoore@warner.net,1999-07-26,3rd,Justin Huynh,6,EEE,C
20200010,Shawn Baker,https://placekitten.com/219/318,935-348-7401x6400,Kellieview,barnold@smith.com,2000-01-17,4th,Kevin Hernandez,6,CE,A
20230011,Eric Nolan,https://dummyimage.com/81x732,+1-315-869-2322x60256,West Erik,ebrennan@gonzalez.com,2004-08-16,1st,Seth Walker,3,CE,C
20220012,Jennifer Ramirez,https://placekitten.com/142/571,+1-868-501-4294x0196,Jessicamouth,cruzbarbara@yahoo.com,2000-03-09,2nd,Aaron Frost,4,IT,A
20200013,Michelle Harmon,https://placeimg.com/403/745/any,595-148-4656,Angelaborough,lbyrd@hotmail.com,2004-07-21,2nd,Roy Torres,6,EEE,A
20210014,Richard Lawson,https://placeimg.com/659/952/any,387.214.8951x343,East Andrew,xcarr@gibson.org,2002-09-28,1st,James Ross,5,ME,C
20230015,Michael Stafford,https://dummyimage.com/218x870,(870)831-7278,Stephaniemouth,vmerritt@yahoo.com,2007-02-02,3rd,David Walsh,3,ECE,C
20220016,Kelly Sims,https://www.lorempixel.com/562/900,001-434-558-1223x623,South Rickside,abrown@yahoo.com,1999-10-07,2nd,Ralph James,4,IT,C
20200017,Guy Molina,https://placeimg.com/858/451/any,467.065.6272,South Brittanytown,dtaylor@williams.com,2003-01-13,2nd,George Hobbs,6,CE,B
20210018,Trevor Fisher,https://www.lorempixel.com/167/963,001-805-310-0330x9232,Caldwellshire,xlyons@jackson-lawson.com,2002-03-21,4th,Mr. Alexander Collins,5,ME,C
20210019,Tina Sanders,https://dummyimage.com/406x155,491-905-8651,Alexanderchester,hamiltonmichael@yahoo.com,2002-01-13,3rd,Nicholas Sheppard,5,CSE,B
20200020,Robert Medina,https://placeimg.com/990/952/any,001-945-314-7379x9650,Rosalesburgh,michaelgreen@yahoo.com,2004-02-18,3rd,Jose Lee,6,ME,C
20200021,Jason Peters,https://placeimg.com/492/975/any,014.363.4957x885,Barajasside,jacqueline44@yahoo.com,2003-05-10,2nd,Corey Wilson,6,CE,C
20210022,Pamela Lopez,https://placekitten.com/443/991,001-989-413-4352x4082,Brandonton,danamullins@gmail.com,1999-08-23,4th,John Alexander,5,ME,D
20210023,Anthony Everett,https://www.lorempixel.com/978/233,(719)022-9413x1869,Port Alexandra,levans@yahoo.com,2004-08-17,3rd,Antonio Choi,5,ECE,B
20220024,Phillip Garrett,https://dummyimage.com/541x166,281.206.7974,East Keithport,mcdanielsandra@hotmail.com,2002-10-19,4th,Joshua Holland,4,CE,D
20220025,Samantha Jones,https://placekitten.com/339/629,174.648.8771x906,Cassandratown,suzannehuff@matthews.com,2000-02-12,2nd,Christopher Stone,4,ECE,D
20200026,Donald Shea,https://www.lorempixel.com/892/1007,565.512.5674x6807,West Johnnyville,sandovalamy@yahoo.com,2000-05-09,1st,Isaiah Avila,6,CSE,B
